First Name,Gender,Age,DateOfBirth,SpeciesId,BreedId
William,Male,3,,6,228
Frederick,Male,4,,4,253
Sabrina,Female,2,,8,440
Jordan,Male,2,,8,416
Maximilian,Male,6,,2,309
Martin,Male,3,,8,443
David,Male,4,,2,77
Aston,Male,5,,3,349
Jared,Male,7,,4,217
Lana,Female,2,,7,110
Tony,Male,4,,4,376
Jasmine,Female,5,,5,204
Sam,Male,5,,8,432
Kellan,Male,4,,5,260
Michael,Male,5,,5,275
Naomi,Female,3,,8,316
Fiona,Female,2,,2,22
Alen,Male,4,,2,409
Chelsea,Female,3,,8,328
Charlie,Male,7,,5,436
Violet,Female,2,,6,464
Dainton,Male,6,,3,488
Samantha,Female,3,,6,406
Jacob,Male,6,,2,108
Miller,Male,7,,2,144
Arnold,Male,1,,6,229
Charlie,Male,6,,8,517
Mike,Male,6,,3,301
Garry,Male,7,,1,67
Edwin,Male,5,,4,304
Chelsea,Female,13,,5,30
Sophia,Female,14,,7,411
Ada,Female,16,,2,39
Owen,Male,18,,6,99
Bruce,Male,11,,2,156
Hailey,Female,16,,3,384
Chelsea,Female,14,,3,415
Miller,Male,24,,1,318
Andrew,Male,24,,6,368
Marcus,Male,9,,5,361
Kristian,Male,13,,5,46
Carlos,Male,22,,8,160
Marcus,Male,10,,4,139
Haris,Male,21,,4,101
Lucas,Male,21,,6,469
Wilson,Male,21,,1,7
Jenna,Female,18,,2,1
Camila,Female,11,,6,5
Robert,Male,9,,3,2
Alexander,Male,10,,3,18
