BreedName,SpeciesId
Affenpinscher,1
Afghan Hound,1
Airedale Terrier,1
Akbash,1
Akita,1
Alaskan Malamute,1
American Bulldog,1
American Bully,1
American Eskimo Dog,1
American Foxhound,1
American Hairless Terrier,1
American Staffordshire Terrier,1
American Water Spaniel,1
Anatolian Shepherd,1
Appenzell Mountain Dog,1
Aussiedoodle,1
Australian Cattle Dog / Blue Heeler,1
Australian Kelpie,1
Australian Shepherd,1
Australian Terrier,1
Basenji,1
Basset Hound,1
Beagle,1
Bearded Collie,1
Beauceron,1
Bedlington Terrier,1
Belgian Shepherd,1
Bernedoodle,1
Bernese Mountain Dog,1
Bichon Frise,1
Black and Tan Coonhound,1
Black Labrador Retriever,1
Black Mouth Cur,1
Black Russian Terrier,1
Bloodhound,1
Blue Lacy,1
Bluetick Coonhound,1
Boerboel,1
Bolognese,1
Border Collie,1
Border Terrier,1
Borzoi,1
Boston Terrier,1
Bouvier des Flandres,1
Boxer,1
Boykin Spaniel,1
Briard,1
Brittany Spaniel,1
Brussels Griffon,1
Bull Terrier,1
Bullmastiff,1
Cairn Terrier,1
Canaan Dog,1
Cane Corso,1
Cardigan Welsh Corgi,1
Carolina Dog,1
Catahoula Leopard Dog,1
Cattle Dog,1
Caucasian Sheepdog / Caucasian Ovtcharka,1
Cavachon,1
Cavalier King Charles Spaniel,1
Cavapoo,1
Chesapeake Bay Retriever,1
Chihuahua,1
Chinese Crested Dog,1
Chinese Foo Dog,1
Chinook,1
Chiweenie,1
Chocolate Labrador Retriever,1
Chow Chow,1
Cirneco dell'Etna,1
Clumber Spaniel,1
Cockapoo,1
Cocker Spaniel,1
Collie,1
Coonhound,1
Corgi,1
Coton de Tulear,1
Curly-Coated Retriever,1
Dachshund,1
Dalmatian,1
Dandie Dinmont Terrier,1
Doberman Pinscher,1
Dogo Argentino,1
Dogue de Bordeaux,1
Dutch Shepherd,1
English Bulldog,1
English Cocker Spaniel,1
English Coonhound,1
English Foxhound,1
English Pointer,1
English Setter,1
English Shepherd,1
English Springer Spaniel,1
English Toy Spaniel,1
Entlebucher,1
Eskimo Dog,1
Feist,1
Field Spaniel,1
Fila Brasileiro,1
Finnish Lapphund,1
Finnish Spitz,1
Flat-Coated Retriever,1
Fox Terrier,1
Foxhound,1
French Bulldog,1
Galgo Spanish Greyhound,1
German Pinscher,1
German Shepherd Dog,1
German Shorthaired Pointer,1
German Spitz,1
German Wirehaired Pointer,1
Giant Schnauzer,1
Glen of Imaal Terrier,1
Golden Retriever,1
Goldendoodle,1
Gordon Setter,1
Great Dane,1
Great Pyrenees,1
Greater Swiss Mountain Dog,1
Greyhound,1
Hamiltonstovare,1
Harrier,1
Havanese,1
Hound,1
Hovawart,1
Husky,1
Ibizan Hound,1
Icelandic Sheepdog,1
Illyrian Sheepdog,1
Irish Setter,1
Irish Terrier,1
Irish Water Spaniel,1
Irish Wolfhound,1
Italian Greyhound,1
Jack Russell Terrier,1
Japanese Chin,1
Jindo,1
Kai Dog,1
Karelian Bear Dog,1
Keeshond,1
Kerry Blue Terrier,1
Kishu,1
Klee Kai,1
Komondor,1
Kuvasz,1
Kyi Leo,1
Labradoodle,1
Labrador Retriever,1
Lakeland Terrier,1
Lancashire Heeler,1
Leonberger,1
Lhasa Apso,1
Lowchen,1
Lurcher,1
Maltese,1
Maltipoo,1
Manchester Terrier,1
Maremma Sheepdog,1
Mastiff,1
McNab,1
Miniature Bull Terrier,1
Miniature Dachshund,1
Miniature Pinscher,1
Miniature Poodle,1
Miniature Schnauzer,1
Mixed Breed,1
Morkie,1
Mountain Cur,1
Mountain Dog,1
Munsterlander,1
Neapolitan Mastiff,1
New Guinea Singing Dog,1
Newfoundland Dog,1
Norfolk Terrier,1
Norwegian Buhund,1
Norwegian Elkhound,1
Norwegian Lundehund,1
Norwich Terrier,1
Nova Scotia Duck Tolling Retriever,1
Old English Sheepdog,1
Otterhound,1
Papillon,1
Parson Russell Terrier,1
Patterdale Terrier / Fell Terrier,1
Pekingese,1
Pembroke Welsh Corgi,1
Peruvian Inca Orchid,1
Petit Basset Griffon Vendeen,1
Pharaoh Hound,1
Pit Bull Terrier,1
Plott Hound,1
Pointer,1
Polish Lowland Sheepdog,1
Pomeranian,1
Pomsky,1
Poodle,1
Portuguese Podengo,1
Portuguese Water Dog,1
Presa Canario,1
Pug,1
Puggle,1
Puli,1
Pumi,1
Pyrenean Shepherd,1
Rat Terrier,1
Redbone Coonhound,1
Retriever,1
Rhodesian Ridgeback,1
Rottweiler,1
Rough Collie,1
Saint Bernard,1
Saluki,1
Samoyed,1
Sarplaninac,1
Schipperke,1
Schnauzer,1
Schnoodle,1
Scottish Deerhound,1
Scottish Terrier,1
Sealyham Terrier,1
Setter,1
Shar-Pei,1
Sheep Dog,1
Sheepadoodle,1
Shepherd,1
Shetland Sheepdog / Sheltie,1
Shiba Inu,1
Shih poo,1
Shih Tzu,1
Shollie,1
Siberian Husky,1
Silky Terrier,1
Skye Terrier,1
Sloughi,1
Smooth Collie,1
Smooth Fox Terrier,1
South Russian Ovtcharka,1
Spaniel,1
Spanish Water Dog,1
Spinone Italiano,1
Spitz,1
Staffordshire Bull Terrier,1
Standard Poodle,1
Standard Schnauzer,1
Sussex Spaniel,1
Swedish Vallhund,1
Tennessee Treeing Brindle,1
Terrier,1
Thai Ridgeback,1
Tibetan Mastiff,1
Tibetan Spaniel,1
Tibetan Terrier,1
Tosa Inu,1
Toy Fox Terrier,1
Toy Manchester Terrier,1
Treeing Walker Coonhound,1
Vizsla,1
Weimaraner,1
Welsh Springer Spaniel,1
Welsh Terrier,1
West Highland White Terrier / Westie,1
Wheaten Terrier,1
Whippet,1
White German Shepherd,1
Wire Fox Terrier,1
Wirehaired Dachshund,1
Wirehaired Pointing Griffon,1
Wirehaired Terrier,1
Xoloitzcuintli / Mexican Hairless,1
Yellow Labrador Retriever,1
Yorkshire Terrier,1
Abyssinian,2
American Bobtail,2
American Curl,2
American Shorthair,2
American Wirehair,2
Applehead Siamese,2
Balinese,2
Bengal,2
Birman,2
Bombay,2
British Shorthair,2
Burmese,2
Burmilla,2
Calico,2
Canadian Hairless,2
Chartreux,2
Chausie,2
Cornish Rex,2
Cymric,2
